type,step,pnl
sell,5420,-69.91820761885356
sell_short,5425,
buy_cover,5444,-9.166107701899818
buy,5457,
sell,5465,-53.96823870131084
sell_short,5469,
buy_cover,5473,-75.93659893845688
buy,5477,
sell,5495,-16.064821834122995
buy,5509,
sell,5510,-20.984241959440624
sell_short,5511,
buy_cover,5518,-17.55417816676163
buy,5520,
sell,5544,16.268634747422766
buy,5546,
sell,5549,-58.68469174015445
sell_short,5555,
buy_cover,5564,-21.06968799378774
buy,5576,
sell,5580,-36.76072857211511
sell_short,5585,
buy_cover,5609,25.051671176926902
sell_short,5610,
buy_cover,5619,-29.71591779198934
sell_short,5621,
buy_cover,5622,-7.739977475070191
buy,5623,
sell,5638,10.351390165533303
buy,5648,
sell,5654,-44.27738533336742
sell_short,5661,
buy_cover,5675,2.667280565141482
sell_short,5678,
buy_cover,5699,7.12247867372389
sell_short,5700,
buy_cover,5710,-42.249576488417006
buy,5717,
sell,5727,-61.77449117739343
sell_short,5801,
buy_cover,5808,-61.04248353649018
sell_short,5809,
buy_cover,5815,-97.59142291328499
sell_short,5819,
buy_cover,5843,98.74839544315728
sell_short,5845,
buy_cover,5855,-64.18780116409653
buy,5863,
sell,5887,30.99407481876733
buy,5890,
sell,5901,-43.86464204551521
sell_short,5904,
buy_cover,5908,-39.03100460403766
buy,5910,
sell,5931,50.3192913391249
buy,5934,
sell,5940,-83.17386306664594
sell_short,5950,
buy_cover,5974,160.01087186896984
sell_short,5981,
buy_cover,6002,-52.346069805544175
buy,6013,
sell,6021,-45.2314243155688
sell_short,6023,
buy_cover,6047,191.1739281301725
sell_short,6051,
buy_cover,6075,145.8130755439397
sell_short,6076,
buy_cover,6095,-34.109840533967144
sell_short,6097,
buy_cover,6115,-72.69322245787225
buy,6132,
sell,6156,33.154878819083024
buy,6163,
sell,6170,-73.36637858190807
sell_short,6179,
buy_cover,6182,-39.68849381052496
buy,6185,
sell,6201,-0.6095653980555653
sell_short,6207,
buy_cover,6214,-38.17217585747676
buy,6218,
sell,6229,-33.286757243415195
buy,6234,
sell,6241,-50.75190078309788
sell_short,6243,
buy_cover,6263,17.004846941432334
sell_short,6264,
buy_cover,6270,-56.83658828144871
buy,6283,
sell,6287,-91.66781508557506
sell_short,6301,
buy_cover,6307,-42.028645328575294
buy,6312,
sell,6314,-59.75020348019825
sell_short,6321,
buy_cover,6345,86.76655860583742
sell_short,6348,
buy_cover,6370,-36.52933769477204
sell_short,6373,
buy_cover,6379,-22.266586659166933
sell_short,6380,
buy_cover,6404,52.084976221951365
sell_short,6405,
buy_cover,6417,-44.04164717844105
buy,6419,
sell,6420,-7.15727191987753
sell_short,6422,
buy_cover,6425,-22.569487387876507
buy,6451,
sell,6461,-35.16138022938685
buy,6462,
sell,6483,5.840673778839118
buy,6484,
sell,6508,6.637072701478246
buy,6509,
sell,6520,-9.429467204534376
sell_short,6521,
buy_cover,6522,-2.3577609900057723
buy,6523,
sell,6525,-5.098937281196413
buy,6526,
sell,6536,-18.751528308501292
sell_short,6537,
buy_cover,6538,-11.18602625143285
buy,6539,
sell,6557,-3.1654346217128477
buy,6558,
sell,6564,-29.89745990747906
sell_short,6565,
buy_cover,6571,-22.0015159206323
buy,6574,
sell,6587,-14.976612599706641
sell_short,6588,
buy_cover,6589,-5.118507257955571
buy,6590,
sell,6594,-15.697957111715368
sell_short,6595,
buy_cover,6603,-14.463429799261576
buy,6604,
sell,6627,-12.661230095704013
sell_short,6628,
buy_cover,6629,-3.3256249632559047
sell_short,6630,
buy_cover,6631,-4.792371120074677
buy,6632,
sell,6640,-10.783296187661108
buy,6649,
sell,6650,-24.94120526251936
sell_short,6651,
buy_cover,6674,16.463150263489297
sell_short,6675,
buy_cover,6686,-23.36592045166435
sell_short,6689,
buy_cover,6694,-7.149856653077222
buy,6695,
sell,6698,-21.190104721265016
sell_short,6699,
buy_cover,6705,-13.797615273073461
buy,6706,
sell,6727,-10.9319414880556
sell_short,6729,
buy_cover,6730,-0.08590547816675098
sell_short,6733,
buy_cover,6757,251.59553275345388
sell_short,6774,
buy_cover,6785,-64.45532031326366
sell_short,6786,
buy_cover,6793,-66.27864731216323
buy,6803,
sell,6822,-2.6978653474398016
sell_short,6828,
buy_cover,6829,5.206054407224656
sell_short,6830,
buy_cover,6831,-2.93360119332101
sell_short,6835,
buy_cover,6859,103.49637659750806
sell_short,6860,
buy_cover,6884,30.952869363083664
sell_short,6885,
buy_cover,6899,0.38544851126243884
sell_short,6901,
buy_cover,6925,11.220567482425395
sell_short,6927,
buy_cover,6946,-5.834902741613405
sell_short,6947,
buy_cover,6952,-10.59428128134823
buy,6953,
sell,6964,-22.88685860028272
sell_short,6965,
buy_cover,6978,32.814898040580374
sell_short,6986,
buy_cover,7010,76.46617425789009
sell_short,7016,
buy_cover,7026,-57.314855280554184
sell_short,7033,
buy_cover,7034,-10.4577814010172
buy,7035,
sell,7038,-38.06744029675792
sell_short,7040,
buy_cover,7054,-11.073178188293241
sell_short,7059,
buy_cover,7069,-48.98967711171099
buy,7077,
sell,7085,-36.92168826545458
sell_short,7090,
buy_cover,7096,-17.734224147765417
buy,7107,
sell,7117,-52.96224814692505
sell_short,7130,
buy_cover,7137,-52.4479278656363
buy,7143,
sell,7144,-14.065092801458377
sell_short,7145,
buy_cover,7159,7.338069404899215
sell_short,7162,
buy_cover,7172,-493.7253649283666
buy,7183,
sell,7207,249.995691889706
buy,7222,
sell,7227,-92.36859564181759
buy,7228,
sell,7234,-119.20680449497922
sell_short,7240,
buy_cover,7252,-34.878994515474915
buy,7260,
sell,7275,50.211694450970754
buy,7276,
sell,7293,-20.73572621945823
buy,7295,
sell,7305,-31.66989085501882
sell_short,7313,
buy_cover,7337,24.515019285587186
sell_short,7338,
buy_cover,7362,25.57546991414165
sell_short,7366,
buy_cover,7379,-33.54439439277485
sell_short,7380,
buy_cover,7404,8.195842731483935
buy,7426,
sell,7437,-37.09877631098425
buy,7438,
sell,7452,9.449515379017612
buy,7453,
sell,7477,8.879020050639156
buy,7478,
