datetime,close,signal,position,equity
2026-04-15 05:05:00,74236.98,2,1,9985.007496251876
2026-04-15 05:10:00,74207.36,2,1,9981.023552912062
2026-04-15 05:15:00,74233.64,2,1,9984.55826023719
2026-04-15 05:20:00,74114.35,2,1,9968.51354041928
2026-04-15 05:25:00,74013.83,2,1,9954.993419402459
2026-04-15 05:30:00,74018.5,2,1,9955.621542812214
2026-04-15 05:35:00,73888.01,2,1,9938.070402825297
2026-04-15 05:40:00,73948.83,2,1,9946.250802350198
2026-04-15 05:45:00,73931.82,2,1,9943.962926718523
2026-04-15 05:50:00,73981.44,2,1,9950.636906074418
2026-04-15 05:55:00,74021.5,2,1,9956.025048214626
2026-04-15 06:00:00,73935.99,2,1,9944.523799227876
2026-04-15 06:05:00,73941.99,2,1,9945.3308100327
2026-04-15 06:10:00,73938.0,2,1,9944.794147847491
2026-04-15 06:15:00,73997.9,2,1,9952.85080571565
2026-04-15 06:20:00,73956.9,2,1,9947.336231882686
2026-04-15 06:25:00,73925.09,2,1,9943.05772959911
2026-04-15 06:30:00,73911.17,2,1,9941.185464531918
2026-04-15 06:35:00,73975.49,2,1,9949.836620359634
2026-04-15 06:40:00,73999.99,2,1,9953.131914479332
2026-04-15 06:45:00,73961.19,2,1,9947.913244608137
2026-04-15 06:50:00,73900.02,2,1,9939.685769452955
2026-04-15 06:55:00,73891.62,2,1,9938.5559543262
2026-04-15 07:00:00,73897.7,2,1,9939.373725275089
2026-04-15 07:05:00,73841.99,2,1,9931.880629952298
2026-04-15 07:10:00,73913.7,2,1,9941.525754087952
2026-04-15 07:15:00,73639.27,2,1,9904.614424893307
2026-04-15 07:20:00,73679.53,2,1,9910.029467393677
2026-04-15 07:25:00,73711.33,2,1,9914.306624659244
2026-04-15 07:30:00,73618.73,2,1,9901.851757904791
2026-04-15 07:35:00,73644.15,2,1,9905.27079368123
2026-04-15 07:40:00,73593.15,2,1,9898.411201840225
2026-04-15 07:45:00,73686.49,2,1,9910.965599927273
2026-04-15 07:50:00,73753.0,2,1,9919.911314698747
2026-04-15 07:55:00,73730.43,2,1,9916.8756090546
2026-04-15 08:00:00,73771.31,2,1,9922.374042671468
2026-04-15 08:05:00,73751.0,2,1,9919.64231109714
2026-04-15 08:10:00,73846.59,2,1,9932.499338235995
2026-04-15 08:15:00,73864.7,2,1,9934.935165848556
2026-04-15 08:20:00,73942.74,2,1,9945.431686383303
2026-04-15 08:25:00,73990.51,2,1,9951.85683740771
2026-04-15 08:30:00,74133.57,2,1,9971.098665030733
2026-04-15 08:35:00,74100.49,2,1,9966.649345460137
2026-04-15 08:40:00,74094.97,2,1,9965.906895519698
2026-04-15 08:45:00,74051.65,2,1,9960.080277508867
2026-04-15 08:50:00,74163.22,2,1,9975.086643424573
2026-04-15 08:55:00,74110.51,2,1,9967.997053504192
2026-04-15 09:00:00,74047.37,2,1,9959.504609801426
2026-04-15 09:05:00,74014.11,2,1,9955.031079906685
2026-04-15 09:10:00,74029.5,2,1,9957.10106262106
2026-04-15 09:15:00,74083.63,2,1,9964.381645098581
2026-04-15 09:20:00,74051.65,2,1,9960.080277508867
2026-04-15 09:25:00,73957.34,2,1,9947.39541267504
2026-04-15 09:30:00,73930.97,2,1,9943.84860018784
2026-04-15 09:35:00,73930.98,2,1,9943.849945205846
2026-04-15 09:40:00,73966.0,2,1,9948.560198270003
2026-04-15 09:45:00,73948.82,2,1,9946.249457332191
2026-04-15 09:50:00,73969.31,2,1,9949.005399230664
2026-04-15 09:55:00,74011.69,2,1,9954.70558554874
2026-04-15 10:00:00,74008.04,2,1,9954.214653975803
2026-04-15 10:05:00,74134.38,2,1,9971.207611489384
2026-04-15 10:10:00,74109.49,2,1,9967.859861667372
2026-04-15 10:15:00,74001.77,2,1,9953.371327684763
2026-04-15 10:20:00,73979.09,2,1,9950.320826842528
2026-04-15 10:25:00,73904.46,2,1,9940.282957448524
2026-04-15 10:30:00,73837.19,2,1,9931.235021308437
2026-04-15 10:35:00,73846.56,2,1,9932.495303181971
2026-04-15 10:40:00,74051.65,2,1,9960.080277508867
2026-04-15 10:45:00,74089.7,2,1,9965.19807102946
2026-04-15 10:50:00,74000.88,2,1,9953.251621082049
2026-04-15 10:55:00,73864.75,2,1,9934.941890938597
2026-04-15 11:00:00,73903.47,2,1,9940.149800665728
2026-04-15 11:05:00,73985.24,2,1,9951.148012917472
2026-04-15 11:10:00,74023.5,2,1,9956.294051816234
2026-04-15 11:15:00,73948.68,2,1,9946.230627080076
2026-04-15 11:20:00,73970.01,2,1,9949.099550491226
2026-04-15 11:25:00,73956.41,2,1,9947.270326000293
2026-04-15 11:30:00,73977.8,2,1,9950.14731951949
2026-04-15 11:35:00,74012.89,2,1,9954.866987709704
2026-04-15 11:40:00,74049.21,2,1,9959.752093114907
2026-04-15 11:45:00,74097.89,2,1,9966.299640778045
2026-04-15 11:50:00,74222.75,2,1,9983.093535626434
2026-04-15 11:55:00,74201.78,2,1,9980.273032863575
2026-04-15 12:00:00,74145.27,2,1,9972.67233610014
2026-04-15 12:05:00,74134.22,2,1,9971.186091201256
2026-04-15 12:10:00,74201.76,2,1,9980.270342827558
2026-04-15 12:15:00,74206.0,2,1,9980.840630462968
2026-04-15 12:20:00,74229.67,2,1,9984.024288087998
2026-04-15 12:25:00,74177.1,2,1,9976.953528419732
2026-04-15 12:30:00,74231.2,2,1,9984.230075843228
2026-04-15 12:35:00,74452.75,0,0,9999.012913401117
2026-04-15 12:40:00,74333.96,1,0,9999.012913401117
2026-04-15 12:45:00,74344.93,1,0,9999.012913401117
2026-04-15 12:50:00,74329.3,1,0,9999.012913401117
2026-04-15 12:55:00,74273.77,1,0,9999.012913401117
2026-04-15 13:00:00,74232.68,1,0,9999.012913401117
2026-04-15 13:05:00,74338.61,1,0,9999.012913401117
2026-04-15 13:10:00,74322.02,1,0,9999.012913401117
2026-04-15 13:15:00,74279.5,1,0,9999.012913401117
2026-04-15 13:20:00,74273.84,1,0,9999.012913401117
2026-04-15 13:25:00,74398.09,1,0,9999.012913401117
2026-04-15 13:30:00,74198.76,1,0,9999.012913401117
2026-04-15 13:35:00,74133.98,1,0,9999.012913401117
2026-04-15 13:40:00,73879.18,1,0,9999.012913401117
2026-04-15 13:45:00,73925.68,1,0,9999.012913401117
2026-04-15 13:50:00,73848.82,1,0,9999.012913401117
2026-04-15 13:55:00,74063.92,1,0,9999.012913401117
2026-04-15 14:00:00,73933.08,1,0,9999.012913401117
2026-04-15 14:05:00,73945.66,1,0,9999.012913401117
2026-04-15 14:10:00,74154.48,1,0,9999.012913401117
2026-04-15 14:15:00,74160.83,1,0,9999.012913401117
2026-04-15 14:20:00,74426.29,1,0,9999.012913401117
2026-04-15 14:25:00,74429.99,1,0,9999.012913401117
2026-04-15 14:30:00,74306.7,1,0,9999.012913401117
2026-04-15 14:35:00,73996.62,1,0,9999.012913401117
2026-04-15 14:40:00,73962.75,1,0,9999.012913401117
2026-04-15 14:45:00,74110.0,1,0,9999.012913401117
2026-04-15 14:50:00,74154.47,1,0,9999.012913401117
2026-04-15 14:55:00,74151.81,1,0,9999.012913401117
2026-04-15 15:00:00,74132.7,1,0,9999.012913401117
2026-04-15 15:05:00,74025.38,1,0,9999.012913401117
2026-04-15 15:10:00,74275.11,1,0,9999.012913401117
2026-04-15 15:15:00,74144.65,1,0,9999.012913401117
2026-04-15 15:20:00,74044.18,1,0,9999.012913401117
