side,entry_step,exit_step,entry_price,exit_price,pnl,hold_bars
short,15347,15348,2235.2,2244.84,-34.215883223118,1
long,15385,15393,2241.5,2242.12,-3.7794606186344026,8
long,15420,15421,2249.99,2247.62,-13.369324622663044,1
long,15437,15438,2263.61,2263.27,-6.842992445634081,1
long,15459,15461,2274.67,2295.67,60.641542938289604,2
short,15543,15547,2266.35,2222.91,136.27741254117245,4
long,15633,15634,2212.72,2212.61,-6.2797926311859555,1
short,15655,15656,2197.34,2201.66,-17.48382828893591,1
short,15773,15776,2212.55,2213.53,-6.212318762132782,3
short,16013,16015,2227.96,2223.86,10.605849914180908,2
long,16079,16082,2295.42,2325.44,90.4090444276926,3
long,16111,16116,2362.44,2365.66,4.193855733925375,5
short,16125,16128,2371.75,2375.08,-13.469892701114077,3
long,16131,16141,2367.61,2364.35,-16.20581836855672,10
long,16456,16458,2315.65,2317.42,-0.26734051289804484,2
short,16491,16492,2332.38,2327.41,12.87098692872405,1
long,16509,16511,2319.02,2322.09,3.893647037060873,2
long,16551,16553,2327.91,2318.77,-35.17541885894025,2
long,16672,16673,2351.19,2353.41,1.0654162776108933,1
short,16771,16779,2337.1,2342.51,-20.134440944050766,8
long,16843,16844,2299.03,2308.29,23.838685003647697,1
long,16883,16884,2311.45,2318.9,17.952645650429076,1
short,16896,16899,2329.51,2329.3,-2.3034674959026233,3
long,16933,16934,2339.99,2340.8,-3.3721326424993094,1
short,16981,16989,2332.26,2338.25,-22.053154882166382,8
long,17067,17079,2350.47,2355.14,8.776802069322002,12
long,17169,17173,2450.54,2426.18,-79.54950621970511,4
short,17205,17207,2434.52,2432.92,1.8876580061469213,2
